StartDate,EndDate,Status,Progress,Duration (in seconds),Finished,RecordedDate,ResponseId,RecipientLastName,RecipientFirstName,RecipientEmail,ExternalReference,LocationLatitude,LocationLongitude,DistributionChannel,UserLanguage,QID1,f1,f2,f3,f4,q1,q2_1,q2_2,q2_3,q2_4,q3,q5,q6,q7,q8,q8s1,q8s2,transaction_id
2025/9/10 20:44,2025/9/10 20:46,0,100,146,1,2025/9/10 20:46,R_7domPpQhBjaIT2u,,,,,-10.9823,-37.1033,anonymous,JA,1,2,26 ,2,4,5,1,,2,4,4,2,1,2,1,2,,0Y9w0qUlnZAFrY3i9DQd8L
2025/9/10 20:44,2025/9/10 20:46,0,100,105,1,2025/9/10 20:46,R_53pbzArUBebpVdV,,,,,-22.9201,-43.0811,anonymous,JA,1,1,28 ,4,2,4,4,4,4,4,4,2,4,2,2,3,,5uwI4xUWxmpcjm2xymp80c
2025/9/10 20:44,2025/9/10 20:46,0,100,131,1,2025/9/10 20:46,R_7gp6OBTTBvHCvJY,,,,,-22.3355,-42.4967,anonymous,JA,1,2,79 ,1,3,5,1,1,1,2,2,2,2,2,2,3,,3m9gH9BaNLzmx7xWpO0mw2
2025/9/10 20:44,2025/9/10 20:46,0,100,154,1,2025/9/10 20:46,R_7l4r5iiXagnd561,,,,,-22.9072,-43.1883,anonymous,JA,1,2,32 ,2,4,1,5,1,1,1,3,1,3,1,1,1,,2SP48qc7cEJ9zdpLNwIKC1
2025/9/10 20:44,2025/9/10 20:46,0,100,119,1,2025/9/10 20:46,R_735IIkCV5DnAMHT,,,,,-31.77,-52.341,anonymous,JA,1,1,20 ,5,6,2,2,2,2,3,2,1,2,2,2,1,,3fgZBxqKgt7LBnYJxxiAnE
2025/9/10 20:44,2025/9/10 20:46,0,100,113,1,2025/9/10 20:46,R_3r790ydLgeYsqcm,,,,,-23.6293,-46.6351,anonymous,JA,1,2,36 ,2,3,1,4,1,1,1,1,1,4,1,1,1,,3vqdgikGeMpbi1Q0T7Snkn
2025/9/10 20:44,2025/9/10 20:46,0,100,124,1,2025/9/10 20:46,R_52Kl17IXwui9c1F,,,,,-22.9072,-43.1883,anonymous,JA,1,2,32 ,4,3,1,1,1,1,3,1,1,4,1,1,1,,2AQolRH29lDBzB4n5nYNcz
2025/9/10 20:44,2025/9/10 20:46,0,100,147,1,2025/9/10 20:46,R_59sswQjThlUs80C,,,,,-23.5475,-46.6361,anonymous,JA,1,2,31 ,4,5,3,2,2,2,4,3,2,3,2,1,2,,1sWvFXMIssqjRCAYrZ2ENO
2025/9/10 20:43,2025/9/10 20:46,0,100,208,1,2025/9/10 20:46,R_5mQM6uSaVRdVj9m,,,,,-23.5475,-46.6361,anonymous,JA,1,2,49 ,4,3,2,2,2,2,2,4,2,4,1,3,,3,1MtSX5335PIHmwGn95OqvY
2025/9/10 20:44,2025/9/10 20:46,0,100,135,1,2025/9/10 20:46,R_1YDrF639CDO5q8x,,,,,-20.5689,-47.3347,anonymous,JA,1,1,44 ,4,8,4,2,2,1,2,2,1,2,1,2,2,,3JI7BMjKEfvhifgr3f1RsA
